code,name,price,hsl,估算日额万,mktcap亿
300404,博济医药,12.43,10.27,36445.0,47.95
688593,新相微,29.33,2.7,36443.0,134.78
688628,优利德,76.56,4.24,36319.0,85.57
002733,雄韬股份,18.21,5.39,36211.0,69.97
603976,正川股份,35.82,5.88,36170.0,61.47
301382,蜂助手,36.9,4.15,36168.0,105.29
605365,立达信,15.84,4.55,36167.0,79.52
300581,晨曦航空,10.97,5.98,36066.0,60.35
301189,奥尼电子,56.36,4.05,36063.0,92.23
300531,优博讯,17.06,6.76,35943.0,54.78
002349,精华制药,7.66,5.76,35923.0,63.66
002868,绿康生化,25.83,12.93,35887.0,40.14
300828,锐新科技,18.1,20.87,35817.0,30.12
300505,川金诺,20.43,8.07,35810.0,56.16
603608,天创时尚,20.95,4.02,35778.0,89.04
600158,中体产业,7.37,5.05,35727.0,70.72
002553,南方精工,17.04,8.18,35726.0,60.22
301251,威尔高,53.68,8.79,35666.0,101.22
300769,德方纳米,41.62,3.39,35555.0,116.61
301326,捷邦科技,104.0,4.74,35500.0,75.62
603123,翠微股份,11.18,4.87,35486.0,89.3
600969,郴电国际,10.18,9.41,35443.0,37.67
002410,广联达,8.86,2.51,35364.0,146.36
600251,冠农股份,10.83,4.2,35328.0,84.15
300825,阿尔特,12.52,5.81,35249.0,61.96
603058,永吉股份,10.1,8.37,35045.0,41.88
301630,同宇新材,180.02,9.25,34933.0,100.81
301628,强达电路,107.0,11.23,34927.0,80.65
600744,华银电力,6.21,2.76,34840.0,126.13
300483,首华燃气,25.58,3.54,34793.0,98.51
300945,曼卡龙,13.16,11.06,34740.0,34.49
300342,天银机电,32.3,2.56,34718.0,137.29
000026,飞亚达,19.75,4.82,34712.0,80.14
688661,和林微纳,96.9,2.35,34635.0,147.18
600326,西藏天路,7.55,3.37,34630.0,102.87
300889,爱克股份,26.98,8.61,34594.0,59.42
002342,巨力索具,7.85,4.62,34587.0,75.36
300547,川环科技,27.13,7.14,34538.0,58.85
601116,三江购物,11.36,5.55,34521.0,62.22
688719,爱科赛博,53.2,7.23,34490.0,61.39
300386,飞天诚信,12.55,10.68,34482.0,52.46
002943,宇晶股份,31.0,5.88,34435.0,82.72
300043,星辉娱乐,4.73,5.85,34427.0,58.85
300491,通合科技,33.27,6.57,34423.0,59.11
301333,诺思格,56.17,6.35,34401.0,54.25
002291,遥望科技,5.78,6.85,34391.0,53.63
300850,新强联,26.84,4.17,34391.0,111.14
301321,翰博高新,41.65,5.59,34379.0,77.65
300249,依米康,13.44,6.84,34377.0,61.61
