code,name,mktcap亿,日额万,①毛利率升,②CapEx增(代理),②在建同比(待核实),③OCF/净利,④预收增(代理),通过项数,备注
600258,首旅酒店,133.43,39126.0,True,False,?,True,False,2,淘汰
002376,新北洋,54.15,7054.0,False,True,?,True,?,2,观察
603262,技源集团,76.88,7045.0,True,False,?,True,?,2,淘汰
688712,北芯生命,130.27,7018.0,False,True,?,True,?,2,观察
688299,长阳科技,37.02,6970.0,True,False,?,True,?,2,观察
002277,友阿股份,83.93,14385.0,True,False,?,True,False,2,观察
002117,东港股份,43.36,7368.0,True,False,?,False,True,2,淘汰
300138,晨光生物,58.12,7568.0,True,False,?,True,False,2,淘汰
600645,中源协和,87.13,13983.0,False,False,?,True,True,2,淘汰
301168,通灵股份,47.4,5141.0,False,False,?,True,False,1,淘汰
002394,联发股份,34.86,5153.0,False,False,?,True,?,1,淘汰
605388,均瑶健康,37.11,5155.0,True,False,?,False,?,1,淘汰
300590,移为通信,50.98,13571.0,True,False,?,False,?,1,淘汰
301309,万得凯,32.77,5319.0,True,False,?,False,?,1,淘汰
003015,日久光电,33.92,5088.0,False,False,?,True,?,1,淘汰
301665,泰禾股份,104.85,5312.0,False,False,?,True,?,1,观察
001226,拓山重工,35.41,5260.0,False,True,?,False,False,1,淘汰
601086,国芳集团,84.25,165155.0,False,False,?,True,False,1,观察
300045,华力创通,80.18,13491.0,True,False,?,?,False,1,淘汰
603669,灵康药业,37.18,13510.0,False,False,?,False,True,1,淘汰
001229,魅视科技,50.7,13869.0,False,False,?,True,False,1,淘汰
600113,浙江东日,122.24,13910.0,False,False,?,True,False,1,淘汰
603118,共进股份,128.01,134168.0,True,False,?,False,?,1,淘汰
600479,千金药业,64.73,135715.0,True,False,?,False,?,1,淘汰
000655,金岭矿业,42.92,5380.0,False,False,?,True,False,1,淘汰
002616,长青集团,41.84,5392.0,False,False,?,True,False,1,淘汰
603966,法兰泰克,38.46,5403.0,False,False,?,True,?,1,淘汰
600191,华资实业,50.19,5405.0,False,False,?,True,False,1,观察
002983,芯瑞达,48.01,5216.0,False,False,?,True,?,1,淘汰
002996,顺博合金,41.51,5217.0,True,False,?,False,False,1,淘汰
300447,全信股份,44.57,5223.0,True,False,?,False,?,1,淘汰
002333,罗普斯金,36.85,5247.0,False,True,?,False,?,1,淘汰
603757,大元泵业,135.08,142606.0,False,False,?,True,?,1,淘汰
688646,逸飞激光,71.17,13943.0,True,False,?,?,?,1,淘汰
600101,明星电力,43.06,7277.0,False,False,?,True,False,1,淘汰
688765,禾元生物-U,130.84,7142.0,True,False,?,?,?,1,淘汰
600284,浦东建设,50.65,7148.0,False,False,?,False,True,1,淘汰
600603,广汇物流,55.84,7170.0,False,False,?,True,False,1,淘汰
600749,西藏旅游,35.16,42004.0,True,False,?,False,?,1,淘汰
003036,泰坦股份,110.04,42094.0,False,True,?,False,?,1,淘汰
000635,英 力 特,30.31,42198.0,True,False,?,?,False,1,淘汰
300798,锦鸡股份,43.89,42534.0,True,False,?,?,?,1,淘汰
002177,御银股份,46.66,43198.0,False,False,?,True,False,1,淘汰
002929,润建股份,145.05,43219.0,True,False,?,False,False,1,淘汰
301520,万邦医药,51.86,43227.0,False,False,?,True,?,1,淘汰
002176,江特电机,148.27,43358.0,True,False,?,?,?,1,淘汰
000799,酒鬼酒,127.96,40779.0,True,False,?,False,False,1,淘汰
301389,隆扬电子,149.86,43865.0,False,False,?,True,?,1,淘汰
300232,洲明科技,60.73,6864.0,False,False,?,True,?,1,淘汰
300443,金雷股份,59.61,6873.0,False,False,?,True,False,1,淘汰
300557,理工光科,42.38,7312.0,True,False,?,False,?,1,淘汰
688707,振华新材,52.35,7333.0,False,True,?,?,?,1,淘汰
000659,珠海中富,37.41,7339.0,True,False,?,?,False,1,淘汰
600333,长春燃气,41.54,7350.0,True,False,?,?,?,1,淘汰
300655,晶瑞电材,135.76,40802.0,False,False,?,True,False,1,淘汰
300790,宇瞳光学,94.97,40831.0,False,False,?,True,?,1,淘汰
001208,华菱线缆,94.8,40870.0,True,False,?,False,?,1,淘汰
603400,华之杰,69.59,40954.0,False,False,?,True,?,1,淘汰
002811,郑中设计,45.95,41088.0,True,False,?,False,False,1,淘汰
688181,八亿时空,48.76,41168.0,True,False,?,False,?,1,淘汰
300815,玉禾田,60.43,7176.0,True,False,?,False,?,1,淘汰
002783,凯龙股份,40.2,7191.0,True,False,?,False,?,1,淘汰
301000,肇民科技,57.12,7227.0,False,False,?,True,?,1,淘汰
301335,天元宠物,31.66,7231.0,False,False,?,True,?,1,淘汰
002526,山东矿机,48.67,7247.0,True,False,?,False,?,1,淘汰
688218,江苏北人,46.24,7248.0,False,False,?,True,?,1,观察
002490,山东墨龙,64.15,44531.0,False,False,?,True,?,1,淘汰
605162,新中港,47.3,38576.0,False,False,?,True,?,1,淘汰
300283,温州宏丰,62.67,38694.0,False,True,?,False,False,1,淘汰
002011,盾安环境,116.58,38800.0,False,False,?,True,?,1,淘汰
603395,红四方,70.36,38985.0,False,False,?,True,?,1,淘汰
688106,金宏气体,137.57,39328.0,False,False,?,True,?,1,淘汰
000612,焦作万方,131.5,39613.0,False,False,?,True,?,1,观察
603068,博通集成,60.26,37170.0,True,False,?,False,?,1,淘汰
